"","home_team","away_team","home_score","away_score","tournament","city","country","neutral","gameresult"
"17013","Other","Other",4,0,"Friendly","San Pedro Sula","Other",FALSE,"1"
"17014","Other","Other",1,0,"Friendly","Khartoum","Other",FALSE,"1"
"17015","Other","Other",8,0,"FIFA World Cup qualification","Auckland","Other",FALSE,"1"
"17016","Other","Other",1,0,"Friendly","P'yongyang","Other",TRUE,"1"
"17017","Other","Other",2,1,"FIFA World Cup qualification","Hamilton","Other",FALSE,"1"
"17018","Uruguay","Other",3,1,"Friendly","Montevideo","Uruguay",FALSE,"1"
"17019","Other","Other",1,0,"Friendly","Melbourne","Other",FALSE,"1"
"17020","Other","Poland",2,2,"Friendly","Guatemala","Other",FALSE,"0"
"17021","Other","Other",1,0,"African Cup of Nations qualification","Bissau","Other",FALSE,"1"
"17022","Trinidad and Tobago","Other",1,2,"FIFA World Cup qualification","Port of Spain","Trinidad and Tobago",FALSE,"2"
"17023","Malawi","Other",0,0,"Friendly","Blantyre","Other",FALSE,"0"
"17024","Other","Other",1,0,"Friendly","Durban","South Africa",FALSE,"1"
"17025","Other","Other",3,1,"Friendly","Adelaide","Other",FALSE,"1"
"17026","Malawi","Other",0,0,"Friendly","Blantyre","Other",FALSE,"0"
"17027","Other","Other",1,2,"Friendly","Cape Town","South Africa",FALSE,"2"
"17028","Other","Other",2,1,"Baltic Cup","Liepāja","Other",FALSE,"1"
"17029","Other","Other",1,1,"Baltic Cup","Liepāja","Other",TRUE,"0"
"17030","Other","Other",2,2,"Friendly","Johannesburg","South Africa",FALSE,"0"
"17031","Other","Other",3,3,"Friendly","Ashgabat","Other",FALSE,"0"
"17032","Other","Other",0,0,"Friendly","Sydney","Other",FALSE,"0"
"17033","Other","Other",2,3,"Baltic Cup","Liepāja","Other",FALSE,"2"
"17034","Other","Other",0,1,"Friendly","Nouméa","Other",FALSE,"2"
"17035","Other","Other",1,0,"Friendly","Almaty","Other",FALSE,"1"
"17036","Other","Other",1,1,"FIFA World Cup qualification","Honiara","Other",FALSE,"0"
"17037","Other","Honduras",0,0,"FIFA World Cup qualification","Guatemala","Other",FALSE,"0"
"17038","Other","Other",0,5,"FIFA World Cup qualification","Managua","Other",FALSE,"2"
"17039","Other","Other",1,2,"Friendly","Port Vila","Other",FALSE,"2"
"17040","Other","Other",0,1,"Friendly","Yaoundé","Other",FALSE,"2"
"17041","Other","Other",1,2,"Friendly","Nouméa","Other",FALSE,"2"
"17042","Other","Other",5,1,"FIFA World Cup qualification","San Salvador","Other",FALSE,"1"
"17043","Other","Other",2,1,"Friendly","Port Vila","Other",TRUE,"1"
"17044","Other","Other",0,1,"Friendly","Port Vila","Other",FALSE,"2"
"17045","Other","Mexico",1,2,"Friendly","San Salvador","Other",FALSE,"2"
"17046","Other","Other",2,0,"FIFA World Cup qualification","Tegucigalpa","Other",FALSE,"1"
"17047","Other","Other",2,0,"Friendly","Abidjan","Other",FALSE,"1"
"17048","Other","Other",1,3,"Friendly","Port Vila","Other",FALSE,"2"
"17049","Other","Other",2,2,"Friendly","Port Vila","Other",TRUE,"0"
"17050","Other","Other",2,2,"Friendly","Abidjan","Other",FALSE,"0"
"17051","Other","Other",1,0,"Friendly","Port Vila","Other",TRUE,"1"
"17052","Other","Other",0,2,"Friendly","Port Vila","Other",FALSE,"2"
"17053","Brazil","Mexico",5,0,"Friendly","Los Angeles","United States",TRUE,"1"
"17054","United States","Other",0,1,"Friendly","Los Angeles","United States",FALSE,"2"
"17055","Other","Other",2,0,"Friendly","Maseru","Other",FALSE,"1"
"17056","Other","Other",2,2,"Friendly","Maseru","Other",FALSE,"0"
"17057","Mexico","Other",0,0,"Friendly","Los Angeles","United States",TRUE,"0"
"17058","Uruguay","Costa Rica",2,1,"Friendly","Montevideo","Uruguay",FALSE,"1"
"17059","United States","Brazil",0,1,"Friendly","Los Angeles","United States",FALSE,"2"
"17060","Other","Other",1,1,"Friendly","Toftir","Other",FALSE,"0"
"17061","Other","Costa Rica",1,1,"Friendly","Guayaquil","Other",FALSE,"0"
"17062","Indonesia","Other",1,1,"Friendly","Jakarta","Other",FALSE,"0"
"17063","Other","Other",1,0,"Friendly","Maseru","Other",FALSE,"1"
"17064","Other","Other",0,2,"Friendly","Reykjavík","Other",FALSE,"2"
"17065","Other","Other",2,2,"Friendly","Maseru","Other",FALSE,"0"
"17066","Other","Other",0,0,"Friendly","Tripoli","Other",FALSE,"0"
"17067","Other","Other",0,1,"Friendly","Jakarta","Other",TRUE,"2"
"17068","Other","Honduras",0,3,"Friendly","Los Angeles","United States",TRUE,"2"
"17069","Other","Other",1,2,"FIFA World Cup qualification","Riga","Other",FALSE,"2"
"17070","Other","Other",0,1,"Friendly","Tripoli","Other",FALSE,"2"
"17071","Other","Other",3,1,"African Cup of Nations qualification","Oran","Other",FALSE,"1"
"17072","Indonesia","Other",0,3,"Friendly","Jakarta","Other",FALSE,"2"
"17073","Other","Other",2,1,"Friendly","Bamako","Other",FALSE,"1"
"17074","Other","Ghana",2,2,"African Cup of Nations qualification","Mwanza","Other",FALSE,"0"
"17075","Other","Other",3,1,"African Cup of Nations qualification","Kampala","Uganda",FALSE,"1"
"17076","Other","Other",1,2,"African Cup of Nations qualification","Cotonou","Other",FALSE,"2"
"17077","Other","Other",1,0,"African Cup of Nations qualification","Bujumbura","Other",FALSE,"1"
"17078","Other","Other",0,3,"African Cup of Nations qualification","N'Djamena","Other",FALSE,"2"
"17079","Other","Other",2,0,"African Cup of Nations qualification","Kinshasa","Other",FALSE,"1"
"17080","Other","Switzerland",0,6,"FIFA World Cup qualification","Tallinn","Other",FALSE,"2"
"17081","Other","Other",0,0,"African Cup of Nations qualification","Libreville","Other",FALSE,"0"
"17082","Other","Other",2,2,"African Cup of Nations qualification","Maseru","Other",FALSE,"0"
"17083","Other","Costa Rica",1,0,"FIFA World Cup qualification","Panama City","Other",FALSE,"1"
"17084","Other","Other",2,0,"African Cup of Nations qualification","Dakar","Other",FALSE,"1"
"17085","Other","Other",4,1,"African Cup of Nations qualification","Harare","Other",FALSE,"1"
"17086","Other","Other",0,13,"Other","Irbid","Other",TRUE,"2"
"17087","Other","Other",3,0,"Other","Amman","Other",FALSE,"1"
"17088","Other","Other",5,0,"Other","Amman","Other",TRUE,"1"
"17089","Other","Mexico",1,1,"Friendly","Sofia","Other",FALSE,"0"
"17090","Other","Austria",2,2,"Friendly","Bratislava","Other",FALSE,"0"
"17091","Other","Other",0,3,"Other","Irbid","Other",TRUE,"2"
"17092","Other","Other",2,0,"Other","Amman","Other",FALSE,"1"
"17093","Other","Other",2,1,"Other","Amman","Other",TRUE,"1"
"17094","China PR","Other",2,2,"Dynasty Cup","Beijing","China PR",FALSE,"0"
"17095","Other","Other",3,0,"Other","Irbid","Other",TRUE,"1"
"17096","Japan","South Korea",0,0,"Dynasty Cup","Beijing","China PR",TRUE,"0"
"17097","Other","Other",1,0,"Other","Amman","Other",FALSE,"1"
"17098","Other","Other",0,4,"Other","Amman","Other",TRUE,"2"
"17099","Costa Rica","Other",5,1,"FIFA World Cup qualification","San José","Other",FALSE,"1"
"17100","Other","Other",3,0,"Friendly","Tashkent","Other",FALSE,"1"
"17101","China PR","Other",0,2,"Dynasty Cup","Beijing","China PR",FALSE,"2"
"17102","South Korea","Other",1,1,"Dynasty Cup","Beijing","China PR",TRUE,"0"
"17103","China PR","South Korea",0,2,"Dynasty Cup","Beijing","China PR",FALSE,"2"
"17104","Finland","Poland",0,0,"Friendly","Jakobstad","Finland",FALSE,"0"
"17105","France","Brazil",0,2,"Friendly","Paris","France",FALSE,"2"
"17106","Hungary","Other",2,1,"Friendly","Nyíregyháza","Hungary",FALSE,"1"
"17107","Other","Other",1,0,"Other","Irbid","Other",TRUE,"1"
"17108","Japan","Other",4,1,"Dynasty Cup","Beijing","China PR",TRUE,"1"
"17109","Other","Other",2,1,"Other","Amman","Other",FALSE,"1"
"17110","Other","Denmark",0,0,"FIFA World Cup qualification","Riga","Other",FALSE,"0"
"17111","Norway","Sweden",2,2,"Friendly","Oslo","Norway",FALSE,"0"
"17112","Romania","Mexico",2,0,"Friendly","Bucharest","Other",FALSE,"1"
"17113","Other","Bulgaria",3,2,"Friendly","Trabzon","Other",FALSE,"1"
"17114","Other","Other",1,3,"Other","Amman","Other",TRUE,"2"
"17115","Other","Other",2,0,"Other","Amman","Other",FALSE,"1"
"17116","China PR","Other",0,0,"Dynasty Cup","Xiaogan","China PR",FALSE,"0"
"17117","Japan","South Korea",2,2,"Dynasty Cup","Beijing","China PR",TRUE,"0"
"17118","Kenya","Other",1,3,"African Cup of Nations qualification","Nairobi","Kenya",FALSE,"2"
"17119","Malawi","Other",1,1,"African Cup of Nations qualification","Lilongwe","Other",FALSE,"0"
"17120","Other","Uganda",2,0,"African Cup of Nations qualification","Lagos","Other",FALSE,"1"
"17121","Other","Other",1,0,"African Cup of Nations qualification","Freetown","Other",FALSE,"1"
"17122","Other","Other",2,0,"African Cup of Nations qualification","Yaoundé","Other",FALSE,"1"
"17123","Other","Other",2,0,"African Cup of Nations qualification","Brazzaville","Other",FALSE,"1"
"17124","Other","Other",3,0,"African Cup of Nations qualification","Addis Abeba","Other",FALSE,"1"
"17125","Other","Other",3,0,"African Cup of Nations qualification","Accra","Other",FALSE,"1"
"17126","Other","Other",2,2,"African Cup of Nations qualification","Conakry","Other",FALSE,"0"
"17127","Other","Other",1,1,"African Cup of Nations qualification","Monrovia","Other",FALSE,"0"
"17128","Other","Other",0,1,"African Cup of Nations qualification","Curepipe","Other",FALSE,"2"
"17129","Other","Other",3,0,"African Cup of Nations qualification","Maputo","Other",FALSE,"1"
"17130","Other","Other",1,3,"African Cup of Nations qualification","Niamey","Other",FALSE,"2"
"17131","Other","Other",3,0,"African Cup of Nations qualification","Dakar","Other",FALSE,"1"
"17132","Other","Zambia",0,1,"African Cup of Nations qualification","Johannesburg","South Africa",FALSE,"2"
"17133","Austria","Other",1,1,"Friendly","Linz","Austria",FALSE,"0"
"17134","Other","Belgium",1,2,"FIFA World Cup qualification","Prague","Other",FALSE,"2"
"17135","Other","Other",2,3,"Friendly","Salonica","Other",FALSE,"2"
"17136","Other","Other",1,0,"Friendly","Kaunas","Other",FALSE,"1"
"17137","Other","Other",0,2,"Friendly","Saint John","Other",FALSE,"2"
"17138","Other","Other",1,2,"FIFA World Cup qualification","Honiara","Other",FALSE,"2"
"17139","Other","France",2,0,"FIFA World Cup qualification","Sofia","Other",FALSE,"1"
"17140","Denmark","Germany",1,2,"Friendly","Copenhagen","Denmark",FALSE,"2"
"17141","Finland","Sweden",0,1,"FIFA World Cup qualification","Helsinki","Finland",FALSE,"2"
"17142","Republic of Ireland","Latvia",4,0,"FIFA World Cup qualification","Dublin","Republic of Ireland",FALSE,"1"
"17143","Other","Hungary",0,3,"FIFA World Cup qualification","Luxembourg","Other",FALSE,"2"
"17144","Netherlands","Italy",2,3,"Friendly","Eindhoven","Netherlands",FALSE,"2"
"17145","Northern Ireland","Other",3,0,"FIFA World Cup qualification","Belfast","Other",FALSE,"1"
"17146","Norway","Other",10,0,"FIFA World Cup qualification","Oslo","Norway",FALSE,"1"
"17147","Poland","Other",1,1,"Friendly","Mielec","Poland",FALSE,"0"
"17148","Spain","England",1,0,"Friendly","Santander","Spain",FALSE,"1"
"17149","Switzerland","Scotland",3,1,"FIFA World Cup qualification","Berne","Switzerland",FALSE,"1"
"17150","Wales","Other",6,0,"FIFA World Cup qualification","Cardiff","Wales",FALSE,"1"
"17151","Other","Other",0,3,"FIFA World Cup qualification","Papeete","Other",TRUE,"2"
"17152","Other","Other",3,0,"FIFA World Cup qualification","Nausori","Other",FALSE,"1"
"17153","Other","Honduras",3,1,"Friendly","San Salvador","Other",FALSE,"1"
"17154","Other","Other",1,1,"Friendly","Ashgabat","Other",FALSE,"0"
"17155","Other","Other",6,3,"Friendly","Gurjaani","Other",FALSE,"1"
"17156","Other","Other",1,1,"Friendly","San Pedro Sula","Other",FALSE,"0"
"17157","Other","Other",2,0,"FIFA World Cup qualification","Brisbane","Other",FALSE,"1"
"17158","Other","Other",5,1,"Friendly","Tegucigalpa","Other",FALSE,"1"
"17159","Brazil","Costa Rica",4,2,"Friendly","Paranavaí","Brazil",FALSE,"1"
"17160","Other","Other",4,0,"FIFA World Cup qualification","Košice","Other",FALSE,"1"
"17161","Hungary","Other",0,0,"Friendly","Budapest","Hungary",FALSE,"0"
"17162","Other","Spain",0,0,"FIFA World Cup qualification","Riga","Other",FALSE,"0"
"17163","Other","Denmark",0,0,"FIFA World Cup qualification","Vilnius","Other",FALSE,"0"
"17164","Norway","Netherlands",2,1,"FIFA World Cup qualification","Oslo","Norway",FALSE,"1"
"17165","Poland","Other",1,0,"FIFA World Cup qualification","Poznań","Poland",FALSE,"1"
"17166","Uruguay","Argentina",0,0,"Other","Montevideo","Uruguay",FALSE,"0"
"17167","Other","Other",7,0,"Friendly","San Pedro Sula","Other",FALSE,"1"
"17168","Other","Other",6,1,"FIFA World Cup qualification","Newcastle","Other",FALSE,"1"
"17169","Other","Other",1,1,"Friendly","Bishkek","Other",FALSE,"0"
"17170","Other","Other",0,3,"FIFA World Cup qualification","Port Vila","Other",FALSE,"2"
"17171","Other","Other",0,1,"Friendly","Kingstown","Other",FALSE,"2"
"17172","Other","Other",1,3,"Friendly","Gaborone","Other",FALSE,"2"
"17173","Other","Other",1,1,"Friendly","Teheran","Other",FALSE,"0"
"17174","Other","Other",0,1,"Friendly","Gaborone","Other",FALSE,"2"
"17175","Other","Other",2,6,"Friendly","Bishkek","Other",FALSE,"2"
"17176","Other","Other",1,0,"Friendly","Libreville","Other",FALSE,"1"
"17177","Other","Other",0,3,"African Cup of Nations qualification","Bissau","Other",FALSE,"2"
